Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201910,09,569000,003,    ,00000 ,71390 ,25709 ,278,25540, , ,06074      ,1,1,1,South Windsor town,59,59,9774113,0,0,0,0,0,0,12,93,6262132,37,37,6125320,0,0,0,0,0,0,3,43,3560416
201910,09,577000,003,    ,00000 ,70550 ,43069 ,278,25540, , ,06489      ,1,1,10,Southington town,90,90,7579498,0,0,0,0,0,0,0,0,0,90,90,7579498,0,0,0,0,0,0,0,0,0
201910,09,581000,011,    ,00000 ,71670 ,2984 ,278,35980, , ,06330      ,1,1,9,Sprague town,2,2,528429,0,0,0,0,0,0,0,0,0,2,2,528429,0,0,0,0,0,0,0,0,0
201910,09,589000,013,    ,00000 ,72090 ,12087 ,278,25540, , ,06076      ,1,1,10,Stafford town,9,9,1841940,0,0,0,0,0,0,0,0,0,9,9,1841940,0,0,0,0,0,0,0,0,0
201910,09,593000,001,0970,73000 ,73070 ,122643 ,408,14860,2,1,06904      ,1,1,10,Stamford,36,36,21570531,0,0,0,1,3,442200,6,1090,292896228,36,36,21570531,0,0,0,1,3,442200,6,1090,292896228
201910,09,609000,001,    ,00000 ,74190 ,51384 ,408,14860, ,1,06497      ,1,1,7,Stratford town,6,6,1589891,2,4,446439,0,0,0,3,64,2630810,3,3,790838,2,4,446439,0,0,0,2,59,2200000
201910,09,613000,003,    ,00000 ,74540 ,15735 ,278,25540, , ,06078      ,1,1,10,Suffield town,27,27,9906300,0,0,0,0,0,0,0,0,0,27,27,9906300,0,0,0,0,0,0,0,0,0
201910,09,625000,013,    ,00000 ,76290 ,15052 ,278,25540, , ,06084      ,1,1,10,Tolland town,5,5,1442106,0,0,0,0,0,0,1,8,700000,5,5,1442106,0,0,0,0,0,0,1,8,700000
201910,09,637000,001,    ,00000 ,77200 ,36018 ,408,14860, , ,06611      ,1,1,0,Trumbull town,6,6,1502224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910,09,641000,013,    ,00000 ,77830 ,854 ,278,25540, , ,06076      ,1,1,10,Union town,4,4,596000,0,0,0,0,0,0,0,0,0,4,4,596000,0,0,0,0,0,0,0,0,0
