Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Source,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201706,09,481000,009,    ,00000 ,58300 ,12683 ,408,35300, , ,06478      ,1,1,5,Oxford town,2,2,299961,0,0,0,0,0,0,0,0,0
201706,09,489000,003,    ,00000 ,60120 ,17716 ,278,25540, , ,06062      ,1,1,3,Plainville town,3,3,559990,0,0,0,0,0,0,0,0,0
201706,09,501000,007,    ,00000 ,61800 ,9508 ,278,25540, , ,06480      ,1,1,1,Portland town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,505000,011,    ,00000 ,62150 ,4726 ,278,35980, , ,06360      ,1,1,3,Preston town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,509000,009,    ,00000 ,62290 ,9405 ,408,35300, , ,06712      ,1,1,1,Prospect town,2,2,222000,0,0,0,0,0,0,0,0,0
201706,09,517000,001,    ,00000 ,63480 ,9158 ,408,14860, , ,06875      ,1,1,3,Redding town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,521000,001,    ,00000 ,63970 ,24638 ,408,14860, , ,06877      ,1,1,1,Ridgefield town,0,0,0,0,0,0,0,0,0,1,15,3512500
201706,09,525000,003,    ,00000 ,65370 ,19709 ,278,25540, , ,06067      ,1,1,1,Rocky Hill town,1,1,180000,0,0,0,0,0,0,0,0,0
201706,09,553000,001,0890,68100 ,68170 ,39559 ,408,14860,2, ,06484      ,1,1,1,Shelton,6,6,1025920,0,0,0,0,0,0,0,0,0
201706,09,557000,001,    ,00000 ,68310 ,3581 ,408,14860, , ,06784      ,1,1,1,Sherman town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,561000,003,    ,00000 ,68940 ,23511 ,278,25540, , ,06070      ,1,1,3,Simsbury town,2,2,446710,0,0,0,0,0,0,0,0,0
201706,09,565000,013,    ,00000 ,69220 ,11444 ,278,25540, , ,060712119  ,1,1,3,Somers town,3,3,975000,0,0,0,0,0,0,0,0,0
201706,09,569000,003,    ,00000 ,71390 ,25709 ,278,25540, , ,06074      ,1,1,3,South Windsor town,2,2,330000,0,0,0,0,0,0,0,0,0
201706,09,577000,003,    ,00000 ,70550 ,43069 ,278,25540, , ,06489      ,1,1,3,Southington town,5,5,534000,0,0,0,0,0,0,0,0,0
201706,09,581000,011,    ,00000 ,71670 ,2984 ,278,35980, , ,06330      ,1,1,4,Sprague town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,589000,013,    ,00000 ,72090 ,12087 ,278,25540, , ,06076      ,1,1,3,Stafford town,1,1,120000,0,0,0,0,0,0,0,0,0
201706,09,593000,001,0970,73000 ,73070 ,122643 ,408,14860,2,1,06904      ,1,1,1,Stamford,2,2,1915130,0,0,0,0,0,0,0,0,0
201706,09,609000,001,    ,00000 ,74190 ,51384 ,408,14860, ,1,06497      ,1,1,5,Stratford town,3,3,782534,0,0,0,0,0,0,0,0,0
201706,09,613000,003,    ,00000 ,74540 ,15735 ,278,25540, , ,06078      ,1,1,1,Suffield town,5,5,1587000,0,0,0,0,0,0,2,24,2952000
201706,09,625000,013,    ,00000 ,76290 ,15052 ,278,25540, , ,06084      ,1,1,1,Tolland town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,637000,001,    ,00000 ,77200 ,36018 ,408,14860, , ,06611      ,1,1,1,Trumbull town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,641000,013,    ,00000 ,77830 ,854 ,278,25540, , ,06076      ,1,1,5,Union town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,645000,013,    ,00000 ,78250 ,29179 ,278,25540, , ,06066      ,1,1,1,Vernon town,2,2,207000,0,0,0,0,0,0,0,0,0
201706,09,649000,011,    ,00000 ,78600 ,2603 ,278,35980, , ,06384      ,1,1,1,Voluntown town,1,1,182000,0,0,0,0,0,0,0,0,0
201706,09,653000,009,    ,00000 ,78740 ,45135 ,408,35300, , ,06492      ,1,1,5,Wallingford town,3,3,543456,0,0,0,0,0,0,0,0,0
201706,09,665000,009,1090,80000 ,80070 ,110366 ,408,35300,2, ,06702      ,1,1,1,Waterbury,3,3,335000,0,0,0,0,0,0,0,0,0
201706,09,677000,003,    ,00000 ,82590 ,63268 ,278,25540, ,1,06107      ,1,1,5,West Hartford town,1,1,270484,0,0,0,0,0,0,1,5,243431
201706,09,685000,007,    ,00000 ,81680 ,6938 ,278,25540, , ,06498      ,1,1,3,Westbrook town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,689000,001,    ,00000 ,83430 ,10179 ,408,14860, , ,06883      ,1,1,5,Weston town,1,1,1519634,0,0,0,0,0,0,0,0,0
201706,09,693000,001,    ,00000 ,83500 ,26391 ,408,14860, , ,06880      ,1,1,1,Westport town,6,6,4834000,0,0,0,0,0,0,0,0,0
201706,09,697000,003,    ,00000 ,84900 ,26668 ,278,25540, , ,06109      ,1,1,1,Wethersfield town,1,1,217230,0,0,0,0,0,0,0,0,0
201706,09,701000,013,    ,00000 ,85950 ,6041 ,278,25540, , ,06279      ,1,1,5,Willington town,1,1,268000,0,0,0,0,0,0,0,0,0
201706,09,705000,001,    ,00000 ,86370 ,18062 ,408,14860, , ,06897      ,1,1,5,Wilton town,1,1,684465,0,0,0,0,0,0,0,0,0
201706,09,713000,015,    ,00000 ,86790 ,25268 ,148,49340, , ,062260001  ,1,1,5,Windham town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,717000,003,    ,00000 ,87070 ,12498 ,278,25540, , ,06096      ,1,1,5,Windsor Locks town,3,3,440897,0,0,0,0,0,0,0,0,0
201706,09,721000,003,    ,00000 ,87000 ,29044 ,278,25540, , ,06095      ,1,1,1,Windsor town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,725000,009,    ,00000 ,87560 ,16680 ,408,35300, , ,06716      ,1,1,1,Wolcott town,1,1,215000,0,0,0,0,0,0,0,0,0
